,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Twenty-Four,0.389,0.509,7,-7.053,1,0.028,0.671,0.0,0.29,0.444,159.834,audio_features,2DLmQACFPykftNpEAc4bDa,spotify:track:2DLmQACFPykftNpEAc4bDa,https://api.spotify.com/v1/tracks/2DLmQACFPykftNpEAc4bDa,https://api.spotify.com/v1/audio-analysis/2DLmQACFPykftNpEAc4bDa,293520,3
11,Sideways,0.624,0.915,5,-2.627,0,0.0364,0.141,0.0,0.386,0.815,108.046,audio_features,19DnL1HnJiijuEfaiS0Eus,spotify:track:19DnL1HnJiijuEfaiS0Eus,https://api.spotify.com/v1/tracks/19DnL1HnJiijuEfaiS0Eus,https://api.spotify.com/v1/audio-analysis/19DnL1HnJiijuEfaiS0Eus,184160,3
12,We Can Work It Out,0.608,0.534,8,-11.541,1,0.0339,0.135,0.0,0.064,0.796,105.388,audio_features,41q8ZiB3LZl4HRmmzUTIo4,spotify:track:41q8ZiB3LZl4HRmmzUTIo4,https://api.spotify.com/v1/tracks/41q8ZiB3LZl4HRmmzUTIo4,https://api.spotify.com/v1/audio-analysis/41q8ZiB3LZl4HRmmzUTIo4,199507,4
13,Such great heights,0.651,0.816,5,-7.149,1,0.0507,0.0439,0.186,0.065,0.201,174.978,audio_features,27LyQFdQbui4TnRs05cZ8C,spotify:track:27LyQFdQbui4TnRs05cZ8C,https://api.spotify.com/v1/tracks/27LyQFdQbui4TnRs05cZ8C,https://api.spotify.com/v1/audio-analysis/27LyQFdQbui4TnRs05cZ8C,266507,4
14,HARVEST MOON,0.648,0.309,2,-12.432,1,0.0264,0.526,0.000249,0.124,0.407,112.929,audio_features,5l9c6bJmzvftumhz4TMPgk,spotify:track:5l9c6bJmzvftumhz4TMPgk,https://api.spotify.com/v1/tracks/5l9c6bJmzvftumhz4TMPgk,https://api.spotify.com/v1/audio-analysis/5l9c6bJmzvftumhz4TMPgk,303213,4
15,Kids,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,audio_features,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4
16,High Tide Or Low Tide,0.397,0.447,1,-10.716,0,0.0308,0.654,7.27e-06,0.953,0.352,89.136,audio_features,25s9gQB6i58zmOZdgdcTAQ,spotify:track:25s9gQB6i58zmOZdgdcTAQ,https://api.spotify.com/v1/tracks/25s9gQB6i58zmOZdgdcTAQ,https://api.spotify.com/v1/audio-analysis/25s9gQB6i58zmOZdgdcTAQ,304053,4
17,Les lois de la nature,0.644,0.66,7,-10.323,1,0.0312,0.262,0.32,0.0984,0.454,99.998,audio_features,3xddRRLceNQJ3JpbH5tS2O,spotify:track:3xddRRLceNQJ3JpbH5tS2O,https://api.spotify.com/v1/tracks/3xddRRLceNQJ3JpbH5tS2O,https://api.spotify.com/v1/audio-analysis/3xddRRLceNQJ3JpbH5tS2O,295360,4
18,In Too Deep,0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,audio_features,1HNE2PX70ztbEl6MLxrpNL,spotify:track:1HNE2PX70ztbEl6MLxrpNL,https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL,https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL,207093,4
19,Hands In The Air,0.455,0.74,8,-5.943,1,0.21,0.0185,0.0,0.111,0.314,98.729,audio_features,7CjtstFjQxp6Py1Jy5whPp,spotify:track:7CjtstFjQxp6Py1Jy5whPp,https://api.spotify.com/v1/tracks/7CjtstFjQxp6Py1Jy5whPp,https://api.spotify.com/v1/audio-analysis/7CjtstFjQxp6Py1Jy5whPp,182800,4
